,count,mean,median,min,max,std,5th_percentile,95th_percentile,missing_values
overall,19239.00,65.77,66.00,47.00,93.00,6.88,54.00,77.00,0.00
potential,19239.00,71.08,71.00,49.00,95.00,6.09,62.00,82.00,0.00
age,19239.00,25.21,25.00,16.00,54.00,4.75,18.00,34.00,0.00
height_cm,19239.00,181.30,181.00,155.00,206.00,6.86,170.00,193.00,0.00
weight_kg,19239.00,74.94,75.00,49.00,110.00,7.07,64.00,87.00,0.00
value_eur,19165.00,2850451.81,975000.00,9000.00,194000000.00,7613699.95,180000.00,11500000.00,74.00
wage_eur,19178.00,9017.99,3000.00,500.00,350000.00,19470.18,500.00,37150.00,61.00
