feature,unique_classes,missing_values,most_common_class,most_common_proportion,classes_distribution
nationality_name,163,0,England,0.08934975830344613,"{'England': np.float64(0.08934975830344613), 'Germany': np.float64(0.06310099277509226), 'Spain': np.float64(0.056447840324341185), 'France': np.float64(0.05093819845106295), 'Argentina': np.float64(0.04989864338063309)}"
club_name,701,61,Arsenal,0.0017207216602356868,"{'Real Betis Balompié': np.float64(0.0017207216602356868), 'Everton': np.float64(0.0017207216602356868), 'Borussia Mönchengladbach': np.float64(0.0017207216602356868), 'Arsenal': np.float64(0.0017207216602356868), 'RC Celta de Vigo': np.float64(0.0017207216602356868)}"
preferred_foot,2,0,Right,0.7627215551743853,"{'Right': np.float64(0.7627215551743853), 'Left': np.float64(0.23727844482561464)}"
player_positions,674,0,CB,0.12594209678257706,"{'CB': np.float64(0.12594209678257706), 'GK': np.float64(0.11081657050782265), 'ST': np.float64(0.09200062373304226), 'CDM, CM': np.float64(0.04953479910598264), 'CM': np.float64(0.03773584905660377)}"
